,Equal Weight
2021-09-28,-0.02729384471502421
2021-09-29,0.009151094433319608
2021-09-30,0.0012557462507401113
2021-10-01,0.015574952392389315
2021-10-04,-0.0291715916990788
2021-10-05,-0.002952671109895816
2021-10-06,-0.0029421591152762427
2021-10-07,-0.001502281898756599
2021-10-08,0.02256340410593575
2021-10-11,-0.004312545021828598
2021-10-13,0.01584572166303881
2021-10-14,-0.002394177415050414
2021-10-15,0.009749743669871018
2021-10-18,-0.002218108126652769
2021-10-19,-0.03324326934333163
2021-10-20,-0.0030949523979115576
2021-10-21,-0.03142733652359592
2021-10-22,-0.012824873685960332
2021-10-25,0.020030585471433823
2021-10-26,-0.024232170715359463
2021-10-27,0.002885562987815262
2021-10-28,-0.01093139823036493
2021-10-29,-0.012040267508162665
2021-11-01,0.017059571411035705
2021-11-03,0.01227980658433684
2021-11-04,-0.017646522255337905
2021-11-05,0.015351609900000776
2021-11-08,-0.004602052535954392
2021-11-09,0.010591258174904822
2021-11-10,0.005555343028282849
2021-11-11,0.014313591588824403
2021-11-12,-0.018599414087677294
2021-11-16,-0.022557825645941595
2021-11-17,-0.017519641007231176
2021-11-18,-0.0016000222889452362
2021-11-19,0.006615184867247067
2021-11-22,-0.01498790725288565
2021-11-23,0.011804384505917651
2021-11-24,0.004061908330056975
2021-11-25,0.013644038492512991
2021-11-26,-0.03444771281974468
2021-11-29,0.004024121043419233
2021-11-30,-0.012468961752090352
2021-12-01,-0.013618337102558588
2021-12-02,0.030526977321224023
2021-12-03,0.009795721250974691
2021-12-06,0.013116335424698004
2021-12-07,-0.0010740453965322459
2021-12-08,0.012669541274644161
2021-12-09,-0.019064686424640345
2021-12-10,0.014337939585822015
2021-12-13,-0.005282315555843514
2021-12-14,-0.007414740315155595
2021-12-15,0.0091262841557289
2021-12-16,6.0708954760697046e-05
2021-12-17,-0.0033465711006122707
2021-12-20,-0.023499287317445144
2021-12-21,0.0034543585304102334
2021-12-22,-0.004123923367884267
2021-12-23,-0.003951968904642688
2021-12-27,0.00823283200605182
2021-12-28,-0.00017643935375948776
2021-12-29,-0.009043371248899978
2021-12-30,0.010495991624732878
2022-01-03,-0.021837892512020625
2022-01-04,-0.009083500927879963
2022-01-05,-0.029496121531517164
2022-01-06,0.0004188377828971177
2022-01-07,0.0018611785848692292
2022-01-10,-0.007746557709655115
2022-01-11,0.014459375885104715
2022-01-12,0.019902779356530682
2022-01-13,-0.001977449240465027
2022-01-14,0.010042699042273761
2022-01-17,-0.008122154085991673
2022-01-18,-0.0015799003190157786
2022-01-19,0.016366794076801076
2022-01-20,0.0158784163263322
2022-01-21,-0.0005592751849860767
2022-01-24,-0.008090215514316188
2022-01-25,0.02060038329004987
2022-01-26,0.009601159893632305
2022-01-27,0.011646157736975143
2022-01-28,-0.0028223170402546347
2022-01-31,0.011315496685187222
2022-02-01,0.0007176779047021732
2022-02-02,-0.014753061488831824
2022-02-03,-0.0008338979490126509
2022-02-04,-0.005564479173341733
2022-02-07,-0.002560891834517423
2022-02-08,0.0024542485864374568
2022-02-09,0.010349287599534641
2022-02-10,0.0025315353414013535
2022-02-11,-0.006614549565220593
2022-02-14,0.006451586496285755
2022-02-15,0.014304488741192648
2022-02-16,0.002897406230945478
2022-02-17,-0.010507518376986037
2022-02-18,-0.009540134636741903
2022-02-21,-0.0170160430437537
2022-02-22,0.014639372558150333
2022-02-23,-0.008033606293553765
2022-02-24,-0.002349049476487021
2022-02-25,0.0037755760333154807
2022-03-02,0.007391143595421618
2022-03-03,0.0022888462716391324
2022-03-04,-0.011017529352957202
2022-03-07,-0.03392910327646223
2022-03-08,0.0042802588899290795
2022-03-09,0.0362061237072915
2022-03-10,-0.011706517434687508
2022-03-11,-0.021975685418549926
2022-03-14,-0.011306681695845174
2022-03-15,-0.0022673712685887986
2022-03-16,0.016990285177767576
2022-03-17,0.019220480025964062
2022-03-18,0.0247892302576537
2022-03-21,0.0007856896880932353
2022-03-22,0.016830971459450412
2022-03-23,0.0017456628268742275
2022-03-24,0.018440409052176445
2022-03-25,0.005740102528324921
2022-03-28,-0.001418682566740026
2022-03-29,0.011171520307783843
2022-03-30,-0.0027296929155401534
2022-03-31,-0.00170421841140475
2022-04-01,0.017064302200723244
2022-04-04,-0.0016507315920764273
2022-04-05,-0.017973328961278914
2022-04-06,-0.008827163827664047
2022-04-07,-0.00035807150906379265
2022-04-08,-0.0015100221250696707
2022-04-11,-0.011439883303604983
2022-04-12,-0.004210044626744427
2022-04-13,0.004042027382180705
2022-04-14,-0.00679660552815208
2022-04-18,-0.002279819441311434
2022-04-19,-0.004518231285991603
2022-04-20,-0.007578269547086824
2022-04-22,-0.025023610086689966
2022-04-25,0.0007152598354913265
2022-04-26,-0.020669462179304005
2022-04-27,0.008282760341553114
2022-04-28,0.003405630705965227
2022-04-29,-0.021779229906884197
2022-05-02,-0.022406277242308217
2022-05-03,0.000497176613134821
2022-05-04,0.020112516379839775
2022-05-05,-0.0328202611692256
2022-05-06,-0.008081339555572553
2022-05-09,-0.01519047327217878
2022-05-10,-0.0017117689083219194
2022-05-11,-0.001407808906490939
2022-05-12,0.016040625567108
2022-05-13,0.019981477063561424
2022-05-16,0.008986809889262537
2022-05-17,0.0076588399736221835
2022-05-18,-0.026071222824829657
2022-05-19,0.0067378335523870965
2022-05-20,0.011583887813948228
2022-05-23,0.010588805698874087
2022-05-24,-0.0005824093248421957
